symbol,side,entry,tp,sl,updates
SOL,LONG,154.72,172.0 | 183.0,148.86,"Close short then buy and pray 
Sl 101400 
@Jotham Notif 
Tp 10900, ath | this week trade 
sol short miss 
btc short 1 miss 
eth long 3r 
pepe limit closed be 
btc short 2, 5r
xaut 1r
sol long closed be
 btc short 3, 2r 
ape long -1r 
akt long -1r
btc long holding 
total trade 11 
tp 11r 
sl -2r 
profit 9r  
@Jotham Notif | may trade update
btc short  tp 1.5r
ldo short tp 3.5r
sign short tp -1r
link long stop be
btc short miss
ordi long sl - 1r
btc short tp 2r
pengu long sl - 1r
Enj short tp 1r 
jamsy long 1r
sui long tp 2r
btc long sl -1r
Rune short tp 1r 
grt short sl -1r
cake long tp 6.5r
tia long sl -1r
blur long stop be
strk long sl -1r
cow short tp 1r
kas tp 2.5r
btc short sl -1r
eth short tp 1r
ada tp 1r
kaia short stopped be
link long tp 2r
xmr short  tp 1r
band sl -1r
Inj long tp 3r 
sol miss
btc miss
btc short tp 6r
eth long tp 3r
btc short tp 2.5r
xaut long tp 2r
ape long sl -1r
akt long sl -1r


Total trade 35  
TP gain: +44R
SL loss  : -11R

Total rr: +33R
@Jotham Notif | Btc 1r up tp1 here 
@Jotham Notif"
CAKE,LONG,2.1859,2.49 | 2.94,2.087,
XAUT,LONG,3331.9,3443.0,3297.0,
BTC,LONG,104424.3,109100.0,102850.0,
XLM,LONG,0.267,0.2835,0.2622,
INJ,SHORT,13.305,11.12,13.88,
UNI,LONG,6.37,7.62,6.11,"Qnt almost 1r can take tp1 here 5% 
@Jotham Notif | Uni tp1 here over 1r up 
@Jotham Notif | Moving according to plan :crying:
Risky short trade o
Sui /usdt 
Ep cmp 
Sl 3.538
Tp 3.09 2.8 
@Jotham Notif"
FLOW,LONG,0.3565,0.401,0.3383,"hot long trade 
ep cmp 0.001
dca 0.0098
sl 4h close below 0.000953 ( 5%)
tp 0.00123
risk 0.5% here dca another 0.5 %
 
@Jotham Notif | Btc tp1 hit 2%up 1r
@Jotham Notif"
XRP,SHORT,2.3832,2.05,2.502,
XAUT,LONG,3390.0,3475.0,3360.0,"Almost 1r can take tp1 here 
%5
@Jotham Notif 
Rats
Sei tp1 hit 
2r 10% 
@Jotham Notif"
XMR,SHORT,222.7,217.0 | 205.0,229.0,"Jamsy 
Full tp hit 3r 13% 
In&out 
@Jotham Notif"
LINK,LONG,13.979,15.0 | 17.5,13.27,"comp/usdt risky long trade cmp 
sl 1h close below 46
tp 51.1 55 
@Jotham Notif | sl 1880 
tp 2150 2420(3r) 280. | Eth tp1 hit 
@Jotham Notif | ADA/USDT LONG LIMIT TRADE
SL 0.6424
EP 0.696
TP 0.75 0.86 1$ 
10X LEV 
@Jotham Notif"
INJ,LONG,9.57,10.1 | 10.8,9.22,
ONDO,SHORT,0.84,0.79 | 0.73,0.8827,"Ada tp1 hit 
8%
 @Jotham Notif"
WIF,LONG,0.408,0.428 | 0.49,0.39,
TIA,LONG,3.332,3.5 | 3.78,3.2,
LDO,SHORT,0.98,0.93 | 0.86,1.029,"Ldo 1r down tp1 here 
@Jotham Notif | Ldo tp1 hit 
7% 
@Jotham Notif"
SLP,SHORT,0.00181,0.0017 | 0.00152,0.0019,"Justchart idea
Take tp 1.5r( 6.5) and 3r( 5.5) | tp1 hit @Jotham Notif  $slp"
LINK,LONG,13.824,14.8 | 17.5,13.1,
ETH,LONG,1946.0,2000.0 | 2073.0,1910.0,"Eth tp1 hit 
3% 1.5r 
@Jotham Notif"
DEEP,SHORT,0.0868,0.075,0.092,"Link tp1 hit
@Jotham Notif | eth full tp hit 
in&out 
@Jotham Notif"
TAO,LONG,258.0,275.0 | 312.0,243.0,"hype long trade 
 ep cmp
sl 
tp 
@Jotham Notif | :crying: wtf 
@Jotham Notif tp hit without my entry | Tao tp1 hit 
Over 1r 7% 
@Jotham Notif"
ADA,LONG,0.702,0.73 | 0.776,0.679,
BTC,SHORT,83800.0,81000.0 | 78900.0,85600.0,
UNI,SHORT,6.31,6.0 | 5.7,6.508,"Uni tp1 here 
1r down 
@Jotham Notif"
ZEC,LONG,34.55,37.0 | 43.0,32.57,
DOGE,SHORT,0.1685,0.158 | 0.1478,0.1752,
CRO,LONG,0.07082,0.08 | 0.11,0.0663,
AEVO,SHORT,0.0925,0.086 | 0.078,0.0985,"storj short cmp 
sl 0.293
tp 0.259 0.22
@Jotham Notif | Storj tp1 here 
1r up 
@Jotham Notif | lldo short cmp 
sl 0.82
tp 0.73 0.62
@Jotham Notif | Ldo tp1 hit 7% down
@Jotham Notif 
3/3 w :emoji_44:"
TRX,LONG,0.242,0.251 | 0.26,0.233,"mew/usdt short trade 
ep cmp 0 .00264
sl  0.00277
tp 0.00245 0.00216
@Jotham Notif 

doge/usdt limit long trade 
ep 0.16193
sl 0.1526
tp 0.173  0.945
waiting for the doge retest if 4h candle close below trendline will close  the trade 
@Jotham Notif | Jup tp1 hit 
@Jotham Notif"
COW,LONG,0.296,0.338,0.284,"Tp1 hit 
@Jotham Notif"
TON,SHORT,3.245,3.11 | 2.87,3.36,"Cow up 3r almost full tp 
@Jotham Notif"
MKR,LONG,1428.4,1500.0 | 1600.0,1364.4,
ADA,SHORT,0.721,0.687 | 0.659,0.75,"1r down tp1 here 
@Jotham Notif | doge/usdt  
ep cmp 0.1682
sl 0.15986 
tp 0.177 0.193 
 will close the trade if canlde close below 0.16784
@Jotham Notif | Doge 1r up 
Tp1 here over 4% 
@Jotham Notif | doge tp1 hit 
@Jotham Notif | Shiba over 1r up can book  tp1 here 6% 
@Jotham Notif | Shiba tp1 hit 
@Jotham Notif | april trade update 
uni short  tp 3r 
doge short stopped be 
zec long - 1r 
aevo short tp 2r 
eth front run cancel 
storji short tp 1.5r 
ldo tp 1.5rr 
comp front run cancel 
ton long stopped be 
trx long stopped be 
api3 long front run 
mew short stopped be 0.5r 
jup short 2r 
cow long 3r 
chillguy spot 40% 
mkr front run 
ada short 2r 
shiba long 1r 
doge long 1r 

total trades 19 
sl 2
tp 10
be 3
front run 4
profit  16r
@Jotham Notif
chart idea sl & tp not added"
LDO,SHORT,0.872,0.83 | 0.77,0.911,"Ldo 1r almost 5% 
Tp1 here
@Jotham Notif | Tp1 hit ✍️ | sign/usdt limit
5mtf  risky short trade 
ep 0.09026
sl 0.09434 
tp 0.0853 0.082 0.06616 
@Jotham Notif | Btc short 1r down  tp1 here 
@Jotham Notif | link limit long trade 
EP 13.606 
SL13
 TP  14.5 15 .4 
@Jotham Notif"
ORDI,LONG,7.2,7.7 | 8.38 | 3.0 | 9.3 | 7.135,6.83,"Ldo full tp 
In & out 3.3r 
@Jotham Notif | Btc tp1 hit 1.2r from daily supply 
@Jotham Notif | Btc 1r can take tp1 here 
@Jotham Notif"
PENGU,LONG,0.01444,0.0155 | 0.018 | 0.0246,0.0138,
JASMY,LONG,0.017803,0.019 | 0.0207,0.016852,
SUI,LONG,3.77,3.94 | 4.3,3.625,
GRT,SHORT,0.122,0.109,0.12732,
CAKE,LONG,2.1502,2.29 | 2.49 | 2.72,2.0556,"tia long cmp 3.090
risk 0.5r btc will sell more soon 
sl 2.930
tp 3.27 3.56 
@Jotham Notif | Sui over 1r 4% tp1 here 
@Jotham Notif | 1r up tp herre 
@Jotham Notif | Cake tp1
7% @Jotham Notif almost 2r | Working on my  trade rules  
3 trade daily 
If I hit 2 sl stop trading for the day 
Risk management  1 to 5% port must risk the same all trade for a specific  time 
3r 
1.2r to 1.5r tp1 for me stop be 
2r(can book 90%)  to  3r tp for me 
@Jotham Notif 
Lock in ㅊ  study | btc projection 
risky ep cmp 105400 
sl 107400 tp 101400
@Jotham Notif"
COW,SHORT,0.4079,0.338,0.445,"Can book partials  here 
Stop breakeven for me 
@Jotham Notif | Ada/usdt
Risk 0.5r
Ep cmp 
Sl 0.7815
Tp 0.07101
@Jotham Notif | Ada 1r tp1 down 
For me stop be 
@Jotham Notif"
KAIA,SHORT,0.1223,0.11116,0.1275,
LINK,LONG,15.23,17.8,14.66,
XMR,SHORT,401.0,377.0 | 359.0,413.93,"band/usdt limit trade 
ep 0.7448
sl 0.7156
tp 0.8595
@Jotham Notif | Tp1 here 
@Jotham Notif
Band limit hit 
Pray 
@Jotham Notif | weekend study btc projection 
candle close below 109k long not taken 
have higher timeframe view and lower timeframe 
for higher timeframe (weekly daiily 4h ) 
weekly will be waiting for candle close  below previous Ath 
candle close below ath mean down side on btc 
daily candle already close below to  support level 98300 
lower timeframe 
scalp long limit trade (risk less weekend already )
ep 105530
sl 103540 
tp ath 
@Jotham Notif
you don't need to read all will keep you all  update"
SOL,SHORT,183.44,168.8,189.35,
ETH,LONG,2530.0,2735.0 | 3000.0,2442.0,
PEPE,LONG,0.0001244,0.0001634,0.00011761,"Eth 1r up can book tp1 3.5%
@Jotham Notif | btc 1r down 
can put stop be and book tp1 
for me open 
@Jotham Notif"
XAUT,LONG,3259.0,3445.0 | 3259.0 | 3193.0 | 3445.0,3193.0,
BTC,SHORT,107800.0,103600.0,109800.0,
